,Song_title,Word,Count
612,AM03:00,tell,3
613,AM03:00,why,3
614,AM03:00,i,3
615,AM03:00,miss,3
616,AM03:00,you,5
617,AM03:00,really,3
618,AM03:00,ashibaya,1
619,AM03:00,nagareteku,1
620,AM03:00,konya,1
621,AM03:00,mo,2
622,AM03:00,mata,3
623,AM03:00,sleepless,1
624,AM03:00,night,1
625,AM03:00,chijimaranai,1
626,AM03:00,no,3
627,AM03:00,distance,1
628,AM03:00,dake,3
629,AM03:00,ga,1
630,AM03:00,tomerarenai,1
631,AM03:00,ruupu,1
632,AM03:00,omoidasu,1
633,AM03:00,kaerimichi,1
634,AM03:00,dakedo,1
635,AM03:00,fureta,1
636,AM03:00,yubisaki,1
637,AM03:00,gozen,4
638,AM03:00,reiji,1
639,AM03:00,omoi,1
640,AM03:00,tsuzuru,1
641,AM03:00,kitai,1
642,AM03:00,shite,1
643,AM03:00,ichiji,1
644,AM03:00,niji,1
645,AM03:00,nemurezu,1
646,AM03:00,koeru,1
647,AM03:00,san,1
648,AM03:00,ji,1
649,AM03:00,yone,2
650,AM03:00,tokenai,1
651,AM03:00,toitemiru,1
652,AM03:00,omou,1
653,AM03:00,hodo,1
654,AM03:00,wakaranaku,1
655,AM03:00,naru,1
656,AM03:00,ima,2
657,AM03:00,temae,1
658,AM03:00,da,1
659,AM03:00,shizuka,1
660,AM03:00,negau,1
661,AM03:00,sara,1
662,AM03:00,aketemiru,1
663,AM04:00,tsutaetai,3
664,AM04:00,koto,3
665,AM04:00,mo,5
666,AM04:00,tsutaerarenai,3
667,AM04:00,mama,3
668,AM04:00,yoru,8
669,AM04:00,ga,8
670,AM04:00,toketeyuku,3
671,AM04:00,kamawanai,3
672,AM04:00,futari,3
673,AM04:00,owaranai,3
674,AM04:00,wagamama,3
675,AM04:00,asa,5
676,AM04:00,yondeiru,3
677,AM04:00,how,3
678,AM04:00,do,8
679,AM04:00,you,7
680,AM04:00,feel,4
681,AM04:00,what,2
682,AM04:00,kaze,1
683,AM04:00,ni,1
684,AM04:00,sasoware,1
685,AM04:00,gozen,3
686,AM04:00,niji,2
687,AM04:00,ochitsukanai,1
688,AM04:00,kimochi,1
689,AM04:00,hoshi,1
690,AM04:00,yureteru,1
691,AM04:00,sanji,1
692,AM04:00,kitto,1
693,AM04:00,mou,1
